,1540_T_純金上場信託ETF_日足,1942_T_Kandenko Co,5838_T_楽天銀行_日足,5844_T_京都銀行_日足,7974_T_任天堂_日足,9697_T_カプコン_日足
2025-03-19,1.0860172820109977,1.2861156637789746,2.205475040257649,1.0437486401209495,1.324877599559637,1.1668311826799262
2025-03-20,1.0860172820109977,1.2861156637789746,2.205475040257649,1.0437486401209495,1.324877599559637,1.1668311826799262
2025-03-21,1.0828750981932442,1.29735424959026,2.2264090177133657,1.0783921558553675,1.3682028985704202,1.2063178507488128
2025-03-24,1.0793401413982717,1.2804963708733317,2.17487922705314,1.0715078470647361,1.342458885689148,1.2191509876045592
2025-03-25,1.0820895522388059,1.2790915476469211,2.1359098228663447,1.04774599841524,1.3518774450668973,1.238565303064324
2025-03-26,1.0836606441476826,1.2795598220557247,2.1310789049919485,1.058405474162243,1.4228305676703217,1.2602829503244504
2025-03-27,1.0840534171249019,1.284476703348162,2.1861513687600644,1.0886075782615197,1.385156330159324,1.2741032639707994
2025-03-28,1.1119402985074627,1.2723015687192696,2.157487922705314,1.0656753244443624,1.3707342074414353,1.2691443773699789
2025-03-31,1.1201885310290651,1.2545071411847342,2.0721417069243158,1.023183207077277,1.2790145673495996,1.2112907003604072
2025-04-01,1.124509033778476,1.2720674315148677,1.9893719806763286,1.015539122471558,1.29103300294784,1.2086459608399696
2025-04-02,1.1154752553024352,1.2488878482790915,2.004830917874396,1.0166632525606345,1.3182326203543844,1.2215390660021026
2025-04-03,1.098586017282011,1.2690236478576447,1.8302737520128824,0.9768690474073323,1.2752192718975235,1.2066624061996414
2025-04-04,1.0805184603299294,1.2163427768672441,1.6608695652173913,0.9136929364012424,1.2621887575120627,1.205009443999368
2025-04-07,1.0420267085624508,1.1603839850152189,1.4856682769726248,0.8226383991860595,1.1631315462128802,1.125336665946186
2025-04-08,1.0581304006284367,1.2025286818075391,1.6673107890499195,0.8867138142634104,1.2449834181293185,1.1868268597963596
2025-04-09,1.0490966221523959,1.1948021540622804,1.6112721417069242,0.8520906075198594,1.1898251242258144,1.163685388992531
2025-04-10,1.0895522388059702,1.2446733785998596,1.8679549114331724,0.9292059316304958,1.3289859574685996,1.2671608227296507
2025-04-11,1.1005498821681068,1.2364785764457973,1.792914653784219,0.8941330728513143,1.2701588779614224,1.2354239484843998
2025-04-14,1.105263157894737,1.2435026925778505,1.8334943639291466,0.9071729818845997,1.3093769309662073,1.2638548983291038
2025-04-15,1.1064414768263944,1.238819948489815,1.8940418679549114,0.9096460680805676,1.3036839877880932,1.270136154690143
2025-04-16,1.1221523959151611,1.2549754155935378,1.7768115942028986,0.9370748422540301,1.2701588779614224,1.2727808942105807
2025-04-17,1.1343283582089552,1.2538047295715289,1.817391304347826,0.9701242668728742,1.3087443817241946,1.2965835498945186
2025-04-18,1.1319717203456403,1.3139779911027862,1.8312399355877618,0.9973282150285215,1.3119071279342578,1.3157579114176912
2025-04-21,1.138648860958366,1.312104893467572,1.8083735909822867,0.9840634799774208,1.2960933968839414,1.2879881464530967
2025-04-22,1.1657501963864887,1.3097635214235541,1.8305958132045088,0.9975530410463368,1.2872377074957642,1.2764174110511823
2025-04-23,1.1209740769835035,1.3193631468040272,1.8776167471819645,1.056907109749567,1.3176000711123719,1.287657554013042
2025-04-24,1.1272584446190101,1.28026223366893,1.847342995169082,1.0656753244443624,1.3916083324278532,1.2784009656915105
2025-04-25,1.1237234878240376,1.2870522125965815,1.8673107890499194,1.0773662773707564,1.442212271788866,1.272450301770526
2025-04-28,1.1194029850746268,1.3437134160618123,1.9004830917874396,1.087258622154628,1.4466401164829545,1.2998894742950657
2025-04-29,1.1194029850746268,1.3437134160618123,1.9004830917874396,1.087258622154628,1.4466401164829545,1.2998894742950657
2025-04-30,1.1186174391201886,1.3289627721845,1.9175523349436392,1.0976006189741303,1.4966115066019547,1.3683221093863878
2025-05-01,1.1068342498036134,1.3174900491688128,1.7748792270531402,1.050836807268555,1.5364621088487525,1.3775786977079194
2025-05-02,1.1229379418695993,1.3287286349800984,1.6344605475040257,1.0198108168100481,1.5636617262552968,1.3775786977079194
2025-05-05,1.1229379418695993,1.3287286349800984,1.6344605475040257,1.0198108168100481,1.5636617262552968,1.3775786977079194
2025-05-06,1.1229379418695993,1.3287286349800984,1.6344605475040257,1.0198108168100481,1.5636617262552968,1.3775786977079194
2025-05-07,1.1492537313432836,1.3706391945680167,1.734621578099839,1.0497126771794785,1.5623966277712715,1.3782398825880287
2025-05-08,1.1445404556166536,1.3605712947787403,1.757487922705314,1.0820876237448769,1.5206483777984359,1.369313886706552
2025-05-09,1.1449332285938727,1.3666588620931865,1.8012882447665057,1.1214321768625486,1.4953464081179295,1.3656773698659503
2025-05-12,1.1351139041633935,1.3488644345586513,1.8035426731078905,1.1259286972188538,1.4649840445013218,1.3339404956206995
2025-05-13,1.1402199528672428,1.3135097166939826,2.1256038647342996,1.1389686062521394,1.518750730072398,1.3177414660580193
2025-05-14,1.126865671641791,1.321704518848045,2.0499194847020936,1.1490857770538263,1.4801652263096257,1.260548973928557
2025-05-15,1.0879811468970935,1.3542495902598923,1.985829307568438,1.1203080467734723,1.4479052149669798,1.3091460626165972
2025-05-16,1.1115475255302436,1.3668929992975885,1.96231884057971,1.087258622154628,1.4725746354054736,1.3633632227855674
2025-05-19,1.1119402985074627,1.3725122922032311,2.1088566827697264,1.0775911033885717,1.470044438437423,1.3759257355076457
2025-05-20,1.1029065200314219,1.3554202762819012,2.11658615136876,1.0892820563149654,1.4586585520811952,1.377909290147974
